datetime,load_demand_MW,temperature_C,humidity_%,solar_irradiation_Wm2,population,gni_per_capita_usd,power_price_usd_per_kwh,day_of_week,hour_of_day,is_holiday,season,year,month,week_of_year,lag_1_hour_load,lag_1_day_load,moving_avg_7_day
1/2/2022 00:00,345.0028161,9.427558725,68.0889837,0,99936.63089,11953.27443,0.102039611,6,0,1,Winter,2022,1,52,311.9648859,325.3557432,281.2285127
1/2/2022 01:00,328.1871432,10.73816935,69.81369484,4.454484326,99915.28834,12416.27607,0.103143865,6,1,1,Winter,2022,1,52,345.0028161,311.9904601,283.0346139
1/2/2022 02:00,336.2693923,8.214337019,76.00533036,8.605402906,99963.95966,12023.44142,0.110977862,6,2,1,Winter,2022,1,52,328.1871432,335.3107254,285.0062724
1/2/2022 03:00,305.0352327,11.26772021,76.48623853,12.1698775,100053.5935,11978.03532,0.104879685,6,3,1,Winter,2022,1,52,336.2693923,327.4005321,285.7215924
1/2/2022 04:00,299.0855924,9.315046795,85.6353956,14.90499505,100633.8252,11921.46673,0.116045251,6,4,1,Winter,2022,1,52,305.0352327,295.0378545,286.18242
1/2/2022 05:00,307.8611414,9.932936675,70.59461549,16.62436182,100536.3198,11974.458,0.108880125,6,5,1,Winter,2022,1,52,299.0855924,271.914254,286.905044
1/2/2022 06:00,267.3978959,9.31291095,75.98442317,17.21080581,100376.4555,11872.72005,0.111275033,6,6,1,Winter,2022,1,52,307.8611414,299.7932629,286.2757812
1/2/2022 07:00,296.4500227,14.22088054,70.49000514,16.62436182,101014.605,12061.78235,0.109797736,6,7,1,Winter,2022,1,52,267.3978959,260.3567149,286.5937262
1/2/2022 08:00,264.1537561,10.48932972,73.32383791,14.90499505,98671.88081,12027.90282,0.109659014,6,8,1,Winter,2022,1,52,296.4500227,233.1029698,285.9137271
1/2/2022 09:00,283.2405814,8.400902316,84.20697233,12.1698775,99769.97071,11942.94007,0.117603889,6,9,1,Winter,2022,1,52,264.1537561,228.206991,285.8351052
1/2/2022 10:00,238.4665605,12.161414,70.10543106,8.605402906,99994.36369,11925.36784,0.115421684,6,10,1,Winter,2022,1,52,283.2405814,248.2014533,284.4817182
1/2/2022 11:00,237.5876595,8.074636874,78.7223243,4.454484326,99663.88526,12070.98884,0.110771597,6,11,1,Winter,2022,1,52,238.4665605,263.9299068,283.1791055
1/2/2022 12:00,227.6310079,10.93405136,77.75164897,2.11E-15,99535.12464,11888.55656,0.11337478,6,12,1,Winter,2022,1,52,237.5876595,253.5203852,281.6778055
1/2/2022 13:00,232.4159595,6.596983927,75.66625504,0,99141.42018,11986.39456,0.115865571,6,13,1,Winter,2022,1,52,227.6310079,193.1488866,280.3814412
1/2/2022 14:00,248.2247268,7.859952077,78.38429529,0,99844.33569,11944.17789,0.107010872,6,14,1,Winter,2022,1,52,232.4159595,237.1493942,279.55691
1/2/2022 15:00,281.4717366,10.91004665,69.98701027,0,100447.0135,11593.20238,0.102225191,6,15,1,Winter,2022,1,52,248.2247268,262.8837481,279.6047807
1/2/2022 16:00,284.3959081,11.99325733,84.06872471,0,100386.9682,12206.43995,0.112765103,6,16,1,Winter,2022,1,52,281.4717366,225.6912819,279.7216374
1/2/2022 17:00,282.4859809,10.85906074,85.41133965,0,99623.93506,11667.89126,0.116229896,6,17,1,Winter,2022,1,52,284.3959081,300.7305605,279.7874551
1/2/2022 18:00,260.9876067,10.28502761,76.02263566,0,100110.1225,11680.765,0.101426584,6,18,1,Winter,2022,1,52,282.4859809,244.8438476,279.3502494
1/2/2022 19:00,284.1573135,9.914116783,87.90264283,0,100678.7999,12213.489,0.106968423,6,19,1,Winter,2022,1,52,260.9876067,306.6886712,279.4595008
1/2/2022 20:00,318.331409,7.559280194,73.79197252,0,99239.96648,11812.72868,0.108792941,6,20,1,Winter,2022,1,52,284.1573135,300.5835499,280.323321
1/2/2022 21:00,300.6386511,9.076635758,77.78927214,0,99920.58201,11619.12498,0.105087568,6,21,1,Winter,2022,1,52,318.331409,322.9721565,280.7649586
1/2/2022 22:00,322.8852943,9.595046632,82.94655749,0,100143.2481,12301.89672,0.109276906,6,22,1,Winter,2022,1,52,300.6386511,324.9317665,281.661136
1/2/2022 23:00,335.7739102,12.63056863,73.49208987,0,100005.0077,11906.81776,0.104432566,6,23,1,Winter,2022,1,52,322.8852943,311.9648859,282.7884854
1/3/2022 00:00,371.396261,11.46153159,69.13943594,0,100425.3167,12294.56617,0.108404565,0,0,0,Winter,2022,1,1,335.7739102,345.0028161,284.5968074
1/3/2022 01:00,328.3797823,7.248214698,67.98859591,6.68007649,99251.08699,11868.56547,0.113496836,0,1,0,Winter,2022,1,1,371.396261,328.1871432,285.4724669
1/3/2022 02:00,291.6426469,11.42246295,86.35131406,12.90491681,99497.09067,11722.92337,0.099652562,0,2,0,Winter,2022,1,1,328.3797823,336.2693923,285.5934508
1/3/2022 03:00,333.7497074,10.00413045,73.40205799,18.25030837,100341.0207,11987.29087,0.104744498,0,3,0,Winter,2022,1,1,291.6426469,305.0352327,286.5195327
1/3/2022 04:00,328.0723254,9.420451008,75.11849742,22.35197158,99148.88797,11810.01868,0.11700346,0,4,0,Winter,2022,1,1,333.7497074,299.0855924,287.3035476
1/3/2022 05:00,343.3672696,11.99764759,70.48336085,24.93038486,100405.8839,12132.47041,0.105878395,0,5,0,Winter,2022,1,1,328.0723254,307.8611414,288.3417647
1/3/2022 06:00,273.3777291,12.83629405,80.78887764,25.80983361,100224.9091,12186.8509,0.097007102,0,6,0,Winter,2022,1,1,343.3672696,267.3978959,288.0696913
1/3/2022 07:00,244.2793153,12.63685525,72.13938194,24.93038486,100370.9599,12237.5611,0.110855901,0,7,0,Winter,2022,1,1,273.3777291,296.4500227,287.2877203
1/3/2022 08:00,264.5228156,9.095859962,73.5908661,22.35197158,99765.35517,11989.29591,0.109626236,0,8,0,Winter,2022,1,1,244.2793153,264.1537561,286.888336
1/3/2022 09:00,256.9461944,10.15587026,77.54478334,18.25030837,100254.9192,12327.68708,0.110740674,0,9,0,Winter,2022,1,1,264.5228156,283.2405814,286.3720922
1/3/2022 10:00,252.7670896,11.43682187,70.7269516,12.90491681,99413.85621,11866.08386,0.110286934,0,10,0,Winter,2022,1,1,256.9461944,238.4665605,285.8025159
1/3/2022 11:00,227.4507799,12.72538526,75.15426989,6.68007649,99792.74753,12078.44001,0.116364575,0,11,0,Winter,2022,1,1,252.7670896,237.5876595,284.829987
1/3/2022 12:00,238.5557978,9.815946533,83.05822919,3.16E-15,100018.1695,12023.94797,0.106484691,0,12,0,Winter,2022,1,1,227.4507799,227.6310079,284.0713937
1/3/2022 13:00,235.5816265,10.40297706,78.18845323,0,99550.62529,12446.14489,0.109530971,0,13,0,Winter,2022,1,1,238.5557978,232.4159595,283.2893007
1/3/2022 14:00,226.7057355,8.56162506,76.6998927,0,100109.0534,12293.17898,0.10783656,0,14,0,Winter,2022,1,1,235.5816265,248.2247268,282.3911488
1/3/2022 15:00,223.7611005,8.38188176,77.12150479,0,99427.89639,12058.05093,0.113381813,0,15,0,Winter,2022,1,1,226.7057355,281.4717366,281.4750543
1/3/2022 16:00,252.4979849,12.39934665,74.10150576,0,100134.3254,12091.30875,0.113887715,0,16,0,Winter,2022,1,1,223.7611005,284.3959081,281.0292533
1/3/2022 17:00,266.6438565,13.48677507,86.02794284,0,100870.9252,12358.73517,0.111862018,0,17,0,Winter,2022,1,1,252.4979849,282.4859809,280.8112927
1/3/2022 18:00,297.4559334,10.63027477,71.98639559,0,99371.66718,11901.30225,0.120769013,0,18,0,Winter,2022,1,1,266.6438565,260.9876067,281.0597202
1/3/2022 19:00,295.5711467,12.7813608,77.10181205,0,99988.71994,11645.00673,0.112766523,0,19,0,Winter,2022,1,1,297.4559334,284.1573135,281.2731235
1/3/2022 20:00,297.5211218,11.49756706,76.62230907,0,99191.01947,11858.0893,0.116274995,0,20,0,Winter,2022,1,1,295.5711467,318.331409,281.5086018
1/3/2022 21:00,326.5065775,9.484055499,81.09099377,0,99583.52299,11968.7201,0.10557314,0,21,0,Winter,2022,1,1,297.5211218,300.6386511,282.15143
1/3/2022 22:00,323.129825,11.49708622,81.56305093,0,100350.9746,12323.77187,0.106508949,0,22,0,Winter,2022,1,1,326.5065775,322.8852943,282.7285905
1/3/2022 23:00,318.5575497,13.85036814,75.88708722,0,99784.6857,12258.77447,0.119901684,0,23,0,Winter,2022,1,1,323.129825,335.7739102,283.2262149
1/4/2022 00:00,338.969193,10.96038432,77.75286443,0,100371.2051,12060.03036,0.103230358,1,0,0,Winter,2022,1,1,318.5575497,371.396261,283.9898173
1/4/2022 01:00,345.3567339,14.16132371,77.94220573,8.903689203,100177.9417,12162.11848,0.113839247,1,1,0,Winter,2022,1,1,338.969193,328.3797823,284.8191
1/4/2022 02:00,324.9348831,5.792546194,64.93882368,17.2006067,99967.74086,11927.02168,0.116433445,1,2,0,Winter,2022,1,1,345.3567339,291.6426469,285.3539771
1/4/2022 03:00,354.1860186,12.67584141,68.35458395,24.32533128,99485.2937,12486.50841,0.115877736,1,3,0,Winter,2022,1,1,324.9348831,333.7497074,286.2596619
1/4/2022 04:00,333.3322805,11.20613054,73.27421351,29.79232473,100342.7441,12311.41913,0.10202337,1,4,0,Winter,2022,1,1,354.1860186,328.0723254,286.8709946
